task_id,title,category,tags,street,city,governorate,country,address,rating,deadline,price,status,description
85,Wooden Furniture Restoration,carpentry,"['woodwork', 'furniture', 'furniture', 'custom builds']",Lebanon Street,6th of October City,Giza,Egypt,"34 Lebanon Street, 6th of October City, Giza, Egypt",7,2024-03-12,965,done,"Renovate worn-out wooden furniture pieces by sanding, staining, and varnishing them for a fresh look."
86,Wooden Furniture Restoration,carpentry,"['furniture', 'furniture', 'woodwork']",Al Horreya Street,Luxor,Luxor,Egypt,"59 Al Horreya Street, Luxor, Luxor, Egypt",4,2024-02-09,665,cancelled,"Refurbish wooden chairs, tables, cabinets, and other furniture items to look brand new."
87,Furniture Assembly Assistance,furniture assembly,"['flat pack', 'setup', 'setup']",El Gaish Street,Sohag,Sohag,Egypt,"84 El Gaish Street, Sohag, Sohag, Egypt",5,2024-04-16,720,open,"Assemble a wide range of furniture pieces such as beds, sofas, tables, chairs, desks and shelves."
88,Web Application Development,development,"['mobile', 'applications', 'software']",El Galaa Street,Dakhla,New Valley,Egypt,"55 El Galaa Street, Dakhla, New Valley, Egypt",5,2024-03-31,560,cancelled,"UI/UX Optimization: Optimize user interface (UI) and user experience (UX) design elements to enhance usability, accessibility, and engagement on web platforms. Conduct usability testing, user research, and A/B testing to gather feedback and iteratively improve website navigation, layout, and interaction flows."
89,SEO Optimization Services,SEO services,"['keywords', 'traffic', 'search engine optimization']",El Nozha Street,Maghagha,Minya,Egypt,"16 El Nozha Street, Maghagha, Minya, Egypt",4,2024-04-24,140,done,"Implement off-page SEO strategies such as link building, social bookmarking, and directory submissions to increase website authority, credibility, and trustworthiness."
90,Air Conditioner Installation,install air conditioner,"['installation', 'HVAC', 'maintenance', 'HVAC']",Salah Salem Street,Ibsheway,Faiyum,Egypt,"83 Salah Salem Street, Ibsheway, Faiyum, Egypt",6,2024-03-14,815,done,"Provide post-installation testing, adjustments, and maintenance recommendations to ensure long-term reliability and performance of air conditioning systems."
91,Content Creation Services,content creation,['graphics'],Al Nile Street,Shubra El-Kheima,Qalyubia,Egypt,"12 Al Nile Street, Shubra El-Kheima, Qalyubia, Egypt",2,2024-04-17,840,open,"Collaborate with clients, stakeholders, and subject matter experts to develop content strategies, editorial calendars, and content distribution plans that align with business goals and objectives."
92,Social Media Marketing Campaign,social media management,"['analytics', 'engagement']", El Obour Street,Asyut,Asyut,Egypt,"01  El Obour Street, Asyut, Asyut, Egypt",9,2024-03-08,465,open,"Monitor social media performance metrics, such as reach, engagement, clicks, conversions, and ROI, using analytics tools to measure campaign effectiveness and optimize strategies for maximum impact."
93,Education Content Creation,online course creation,"['education', 'platform']", El Obour Street,Kafr El-Zayat,Gharbia,Egypt,"23  El Obour Street, Kafr El-Zayat, Gharbia, Egypt",10,2024-05-08,330,open,"Instructional Design Consulting: Provide instructional design consulting services to educators, trainers, and content creators, offering expertise in pedagogy, learning theories, instructional strategies, and technology integration. Collaborate with stakeholders to design effective and engaging online learning experiences."
94,Electrical Troubleshooting Services,electrical help,"['installation', 'maintenance']",El Nasr Street,Mansoura,Dakahlia,Egypt,"70 El Nasr Street, Mansoura, Dakahlia, Egypt",9,2024-02-02,765,pending,"Identify and repair common electrical problems such as power outages, circuit breaker trips, flickering lights, and electrical shocks."
95,Market Research and Analysis,marketing,"['SEO', 'SEO', 'promotion', 'promotion', 'campaigns']",Lebanon Street,Shubra El-Kheima,Cairo,Egypt,"47 Lebanon Street, Shubra El-Kheima, Cairo, Egypt",1,2024-01-02,335,done,"Conduct comprehensive market research and analysis to gather data, insights, and intelligence on industry trends, consumer behavior, competitor strategies, and market dynamics."
96,Generative AI Solutions,generative AI,"['scripting', 'scripting', 'automation', 'neural networks']", El Obour Street,Al-Wasta,Beni Suef,Egypt,"01  El Obour Street, Al-Wasta, Beni Suef, Egypt",6,2024-03-06,890,open,"Provide consulting, training, and support services for businesses interested in adopting generative AI technologies, helping them understand the capabilities, limitations, and implications of AI-generated content."
97,Deep Cleaning Service,cleaning,"['residential', 'residential', 'sanitization', 'maintenance']",Abu Bakr El Seddik Street,Nasser,Beni Suef,Egypt,"89 Abu Bakr El Seddik Street, Nasser, Beni Suef, Egypt",5,2024-03-28,450,pending,"Remove dirt, dust, grime, and stains from hard-to-reach areas using specialized cleaning equipment."
98,electrical help,development,"['software', 'mobile']",October Street,Giza,Cairo,Egypt,"83 October Street, Giza, Cairo, Egypt",4,2024-01-03,990,open,"Emergency Electrical Repairs: Provide 24/7 emergency electrical repair services to address sudden power outages, electrical fires, and other urgent issues. Diagnose and repair faulty wiring, overloaded circuits, and electrical hazards promptly to restore power and ensure safety."
99,Data Entry and Analysis Services,data entry,"['input', 'spreadsheets', 'spreadsheets', 'database', 'clerical']",Al Nahda Street,Faiyum,Faiyum,Egypt,"05 Al Nahda Street, Faiyum, Faiyum, Egypt",7,2024-04-10,135,pending,"Conduct data analysis and interpretation to extract meaningful insights, trends, and patterns that inform decision-making, strategic planning, and performance evaluation."
100,electrical help,development,"['applications', 'applications']",Al Nahda Street,Kafr El-Battikh,Damietta,Egypt,"15 Al Nahda Street, Kafr El-Battikh, Damietta, Egypt",7,2024-01-10,95,pending,"Wiring Upgrade Service: Upgrade outdated wiring systems in residential and commercial properties to improve safety, efficiency, and compliance with electrical codes. Replace old wiring, circuit breakers, and outlets with modern, energy-efficient components."
